path,suspicion,text_regions,rect_area,brightness,flagged
data/probe_indoor_env_v2/probe_indoor_env/hotel_lobby_interior_seating_area/hotel_lobby_interior_seating_area_0004_26729614.jpeg,0.6995,305,0.0554,0.49,1
data/raw/negative_clean/turned_off_computer_monitor_desk/turned_off_computer_monitor_desk_0020_267507.jpeg,0.6651,290,0.0876,0.529,1
data/probe_indoor_env_v2/probe_indoor_env/hotel_lobby_interior_seating_area/hotel_lobby_interior_seating_area_0005_36354489.jpeg,0.656,286,0.1519,0.439,1
data/raw/negative_clean/empty_office_desks_no_people/empty_office_desks_no_people_0015_7534210.jpeg,0.6101,266,0.067,0.609,1
data/raw/negative_clean/modern_home_living_room_sunlight_window/modern_home_living_room_sunlight_window_0003_15389465.jpeg,0.6032,263,0.5516,0.435,1
data/probe_indoor_env_v2/probe_indoor_env/office_reception_waiting_area_sofa/office_reception_waiting_area_sofa_0005_2251248.jpeg,0.5963,260,0.0541,0.456,1
data/raw/negative_clean/empty_whiteboard_meeting_room/empty_whiteboard_meeting_room_0016_6980997.jpeg,0.5229,228,0.4012,0.543,1
data/probe_indoor_env_v2/probe_indoor_env/public_library_reading_room_bookshelves/public_library_reading_room_bookshelves_0006_11456020.jpeg,0.5,436,0.0,0.54,1
data/probe_indoor_env_v2/probe_indoor_env/public_library_reading_room_bookshelves/public_library_reading_room_bookshelves_0003_36664672.jpeg,0.4908,428,0.0,0.44,1
data/raw/negative_clean/empty_whiteboard_meeting_room/empty_whiteboard_meeting_room_0002_5905445.jpeg,0.4839,211,0.2572,0.604,1
data/probe_indoor_env_v2/probe_indoor_env/hotel_lobby_interior_seating_area/hotel_lobby_interior_seating_area_0006_12934594.jpeg,0.4335,189,0.0873,0.488,1
data/probe_indoor_env_v2/probe_indoor_env/spa_wellness_center_interior_relaxation/spa_wellness_center_interior_relaxation_0006_9335993.jpeg,0.4335,189,0.0822,0.738,1
data/raw/negative_clean/home_cinema_projector_screen_room/home_cinema_projector_screen_room_0002_8583821.jpeg,0.4106,179,0.4325,0.5,1
data/raw/negative_clean/empty_projector_screen_white_wall/empty_projector_screen_white_wall_0004_6373667.jpeg,0.4037,176,0.4713,0.62,1
data/raw/negative_clean/empty_projector_screen_white_wall/empty_projector_screen_white_wall_0003_24390597.jpeg,0.4014,175,0.2031,0.315,1
