threshold,fps,debounce_s,miss_rate_frame,false_wake_rate,miss_rate_session,triggers_per_min,power_mw,power_controllable_mw,battery_hours_1000mah,is_pareto,data_status
0.25,0.2,0.5,0.3315,0.3957,0.3011,5.24,2732.2,132.18,1.35,False,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,0.2,2.0,0.3315,0.3957,0.3011,5.24,2732.2,132.18,1.35,False,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,0.2,5.0,0.3315,0.3957,0.3011,5.24,2732.2,132.18,1.35,False,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,0.2,10.0,0.3315,0.3957,0.3011,5.24,2732.2,132.18,1.35,True,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,0.2,30.0,0.3315,0.3957,0.534,2.0,2651.9,51.94,1.4,True,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,0.2,60.0,0.3315,0.3957,0.767,1.0,2627.2,27.17,1.41,True,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,0.5,0.5,0.3315,0.3957,0.2606,13.1,2930.4,330.45,1.26,False,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,0.5,2.0,0.3315,0.3957,0.2606,13.1,2930.4,330.45,1.26,False,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,0.5,5.0,0.3315,0.3957,0.2606,12.0,2903.2,303.21,1.27,False,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,0.5,10.0,0.3315,0.3957,0.2606,6.0,2754.6,154.61,1.34,True,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,0.5,30.0,0.3315,0.3957,0.5071,2.0,2655.5,55.54,1.39,True,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,0.5,60.0,0.3315,0.3957,0.7535,1.0,2630.8,30.77,1.41,True,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,1.0,0.5,0.3315,0.3957,0.2195,26.2,3260.9,660.9,1.13,False,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,1.0,2.0,0.3315,0.3957,0.2195,26.2,3260.9,660.9,1.13,False,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,1.0,5.0,0.3315,0.3957,0.2195,12.0,2909.2,309.21,1.27,False,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,1.0,10.0,0.3315,0.3957,0.2195,6.0,2760.6,160.61,1.34,True,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,1.0,30.0,0.3315,0.3957,0.4797,2.0,2661.5,61.54,1.39,True,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,1.0,60.0,0.3315,0.3957,0.7398,1.0,2636.8,36.77,1.4,True,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,2.0,0.5,0.3315,0.3957,0.1739,52.4,3921.8,1321.8,0.94,False,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,2.0,2.0,0.3315,0.3957,0.1739,30.0,3367.0,767.03,1.1,False,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,2.0,5.0,0.3315,0.3957,0.1739,12.0,2921.2,321.21,1.27,False,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,2.0,10.0,0.3315,0.3957,0.1739,6.0,2772.6,172.61,1.33,True,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,2.0,30.0,0.3315,0.3957,0.4492,2.0,2673.5,73.54,1.38,True,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,2.0,60.0,0.3315,0.3957,0.7246,1.0,2648.8,48.77,1.4,False,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,3.0,0.5,0.3315,0.3957,0.147,78.6,4582.7,1982.7,0.81,False,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,3.0,2.0,0.3315,0.3957,0.147,30.0,3379.0,779.03,1.09,False,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,3.0,5.0,0.3315,0.3957,0.147,12.0,2933.2,333.21,1.26,False,miss/false_wake=REAL_probe; power=MOCK_placeholder
0.25,3.0,10.0,0.3315,0.3957,0.147,6.0,2784.6,184.61,1.33,True,miss/false_wake=REAL_probe; power=MOCK_placeholder
